,Positive ,Negetive,NEUTRAL,Mixed,Final result
Old man and the sea start,0.08215904236,0.6304485202,0.1959698796,0.09142251313,NEGATIVE
Old man and the sea end,0.04382683709,0.2363500148,0.6975595951,0.02226354554,NEUTRAL
Sun rises start ,0.8114745021,0.04977694526,0.07089830935,0.06785014272,POSITIVE
Sun rises end,0.5921579003,0.04727781564,0.3480657935,0.01249846537,POSITIVE
Winner take nothing start,0.1395955384,0.6073499918,0.05883553624,0.1942189783,NEGATIVE
Winner take nothing end,0.2900433242,0.3249288201,0.280134201,0.1048936397,NEGATIVE
,,,,,
,Sentiment,,,,
Old man and the sea ,Negative,,,,
Sun rises,Positive,,,,
Winner take nothing,Negative,,,,